bank_code,branch_code,branch_location
7010,768,Alawathugoda
7010,769,Yakkala
7010,770,Ibbagamuwa
7010,771,Kandana
7010,772,Hemmathagama
7010,773,Kottawa
7010,774,Angunakolapelessa
7010,775,Visakha
7010,776,Islamic Banking Unit
7010,777,Electronic Banking Unit
7010,778,Atchuvely
7010,779,Norchcholei
7010,780,Kadawatha 2nd City
7010,781,Teldeniya
7010,782,Rambewa
7010,783,Polpithigama
7010,784,Deiyandara
7010,785,Hali ela
7010,786,Godakawela
7010,787,Kopay
7010,788,BOC premier
7010,789,Makola
7010,790,Eravur
7010,791,Valvettithurai
7010,792,Chankanai
7010,793,Vavuniya City
7010,794,Urumpirai
7010,795,Boragas
7010,796,Mattala Airport
7010,797,Medawala
7010,798,Thalduwa
7010,799,Nelundeniya
7010,800,Wanduramba
7010,802,"Provincial Council Complex,Pallakelle"
7010,803,Welioya-Sampath Nuwara
7010,804,Vaddukoddai
7010,805,Madawakkulama
7010,806,Mahaoya
7010,808,Bogaswewa
7010,809,Kurunduwatte
7010,810,Ethimale
7010,811,Central Camp
7010,812,Aladeniya
7010,813,Kothalawala Defence University
7010,814,Saliyawewa
7010,815,Wahalkada
7010,816,Pallebedda
7010,817,Welikanda
7010,818,Nagoda
7010,819,Old Moor Street 
7010,820,Unawatuna
7010,821,Dombagahawela
7010,822,Corporate 2nd
7010,823,Sewanagala
7010,824,Andiyagala
7010,825,Laggala
7010,826,Dunagaha 
7010,827,Kandaketiya 
7010,999,Head Office
